time	V(g)
0.000000000000000e+00	1.891142e+00
9.990485759703450e-01	1.891142e+00
1.000000000000000e+00	1.891142e+00
Step Information: Thresholdvoltage=1.878  (Step: 79/401)
0.000000000000000e+00	1.892142e+00
9.990485759703450e-01	1.892142e+00
1.000000000000000e+00	1.892142e+00
Step Information: Thresholdvoltage=1.879  (Step: 80/401)
0.000000000000000e+00	1.893142e+00
9.990485759703450e-01	1.893142e+00
1.000000000000000e+00	1.893142e+00
Step Information: Thresholdvoltage=1.88  (Step: 81/401)
0.000000000000000e+00	1.894142e+00
9.990485759703450e-01	1.894142e+00
1.000000000000000e+00	1.894142e+00
Step Information: Thresholdvoltage=1.881  (Step: 82/401)
0.000000000000000e+00	1.895142e+00
9.990485759703450e-01	1.895142e+00
1.000000000000000e+00	1.895142e+00
Step Information: Thresholdvoltage=1.882  (Step: 83/401)
0.000000000000000e+00	1.896142e+00
9.990485759703450e-01	1.896142e+00
1.000000000000000e+00	1.896142e+00
Step Information: Thresholdvoltage=1.883  (Step: 84/401)
0.000000000000000e+00	1.897142e+00
9.990485759703450e-01	1.897142e+00
1.000000000000000e+00	1.897142e+00
Step Information: Thresholdvoltage=1.884  (Step: 85/401)
0.000000000000000e+00	1.898142e+00
9.990485759703450e-01	1.898142e+00
1.000000000000000e+00	1.898142e+00
Step Information: Thresholdvoltage=1.885  (Step: 86/401)
0.000000000000000e+00	1.899142e+00
9.990485759703450e-01	1.899142e+00
1.000000000000000e+00	1.899142e+00
Step Information: Thresholdvoltage=1.886  (Step: 87/401)
0.000000000000000e+00	1.900142e+00
9.990485759703450e-01	1.900142e+00
1.000000000000000e+00	1.900142e+00
Step Information: Thresholdvoltage=1.887  (Step: 88/401)
0.000000000000000e+00	1.901142e+00
9.990485759703450e-01	1.901142e+00
1.000000000000000e+00	1.901142e+00
Step Information: Thresholdvoltage=1.888  (Step: 89/401)
0.000000000000000e+00	1.902142e+00
9.990485759703450e-01	1.902142e+00
1.000000000000000e+00	1.902142e+00
Step Information: Thresholdvoltage=1.889  (Step: 90/401)
0.000000000000000e+00	1.903142e+00
9.990485759703450e-01	1.903142e+00
1.000000000000000e+00	1.903142e+00
Step Information: Thresholdvoltage=1.89  (Step: 91/401)
0.000000000000000e+00	1.904142e+00
9.990485759703450e-01	1.904142e+00
1.000000000000000e+00	1.904142e+00
Step Information: Thresholdvoltage=1.891  (Step: 92/401)
0.000000000000000e+00	1.905142e+00
9.990485759703450e-01	1.905142e+00
1.000000000000000e+00	1.905142e+00
Step Information: Thresholdvoltage=1.892  (Step: 93/401)
0.000000000000000e+00	1.906142e+00
9.990485759703450e-01	1.906142e+00
1.000000000000000e+00	1.906142e+00
Step Information: Thresholdvoltage=1.893  (Step: 94/401)
0.000000000000000e+00	1.907142e+00
9.990485759703450e-01	1.907142e+00
1.000000000000000e+00	1.907142e+00
Step Information: Thresholdvoltage=1.894  (Step: 95/401)
0.000000000000000e+00	1.908142e+00
9.990485759703450e-01	1.908142e+00
1.000000000000000e+00	1.908142e+00
Step Information: Thresholdvoltage=1.895  (Step: 96/401)
0.000000000000000e+00	1.909142e+00
9.990485759703450e-01	1.909142e+00
1.000000000000000e+00	1.909142e+00
Step Information: Thresholdvoltage=1.896  (Step: 97/401)
0.000000000000000e+00	1.910142e+00
9.990485759703450e-01	1.910142e+00
1.000000000000000e+00	1.910142e+00
Step Information: Thresholdvoltage=1.897  (Step: 98/401)
0.000000000000000e+00	1.911142e+00
9.990485759703450e-01	1.911142e+00
1.000000000000000e+00	1.911142e+00
Step Information: Thresholdvoltage=1.898  (Step: 99/401)
0.000000000000000e+00	1.912142e+00
9.990485759703450e-01	1.912142e+00
1.000000000000000e+00	1.912142e+00
Step Information: Thresholdvoltage=1.899  (Step: 100/401)
0.000000000000000e+00	1.913142e+00
9.990485759703450e-01	1.913142e+00
1.000000000000000e+00	1.913142e+00
Step Information: Thresholdvoltage=1.9  (Step: 101/401)
0.000000000000000e+00	1.914142e+00
9.990485759703450e-01	1.914142e+00
1.000000000000000e+00	1.914142e+00
Step Information: Thresholdvoltage=1.901  (Step: 102/401)
0.000000000000000e+00	1.915142e+00
9.990485759703450e-01	1.915142e+00
1.000000000000000e+00	1.915142e+00
Step Information: Thresholdvoltage=1.902  (Step: 103/401)
0.000000000000000e+00	1.916142e+00
9.990485759703450e-01	1.916142e+00
1.000000000000000e+00	1.916142e+00
Step Information: Thresholdvoltage=1.903  (Step: 104/401)
0.000000000000000e+00	1.917142e+00
9.990485759703450e-01	1.917142e+00
1.000000000000000e+00	1.917142e+00
Step Information: Thresholdvoltage=1.904  (Step: 105/401)
0.000000000000000e+00	1.918142e+00
9.990485759703450e-01	1.918142e+00
1.000000000000000e+00	1.918142e+00
Step Information: Thresholdvoltage=1.905  (Step: 106/401)
0.000000000000000e+00	1.919142e+00
9.990485759703450e-01	1.919142e+00
1.000000000000000e+00	1.919142e+00
Step Information: Thresholdvoltage=1.906  (Step: 107/401)
0.000000000000000e+00	1.920142e+00
9.990485759703450e-01	1.920142e+00
1.000000000000000e+00	1.920142e+00
Step Information: Thresholdvoltage=1.907  (Step: 108/401)
