freq                    out                     ref
3.01995172040201e-003   -1.63920042897569e+001  -1.63908787108374e+001
3.09029543251358e-003   -1.63920573294596e+001  -1.63908787108374e+001
3.16227766016837e-003   -1.63921128681522e+001  -1.63908787108374e+001
3.23593656929628e-003   -1.63921710235415e+001  -1.63908787108374e+001
3.31131121482590e-003   -1.63922319188753e+001  -1.63908787108374e+001
3.38844156139202e-003   -1.63922956832025e+001  -1.63908787108374e+001
3.46736850452531e-003   -1.63923624516465e+001  -1.63908787108374e+001
3.54813389233575e-003   -1.63924323656902e+001  -1.63908787108374e+001
3.63078054770101e-003   -1.63925055734749e+001  -1.63908787108374e+001
3.71535229097172e-003   -1.63925822301136e+001  -1.63908787108374e+001
3.80189396320560e-003   -1.63926624980181e+001  -1.63908787108374e+001
3.89045144994280e-003   -1.63927465472425e+001  -1.63908787108374e+001
3.98107170553496e-003   -1.63928345558414e+001  -1.63908787108374e+001
4.07380277804112e-003   -1.63929267102462e+001  -1.63908787108374e+001
4.16869383470334e-003   -1.63930232056586e+001  -1.63908787108374e+001
4.26579518801592e-003   -1.63931242464617e+001  -1.63908787108374e+001
4.36515832240165e-003   -1.63932300466517e+001  -1.63908787108374e+001
4.46683592150962e-003   -1.63933408302885e+001  -1.63908787108374e+001
4.57088189614874e-003   -1.63934568319686e+001  -1.63908787108374e+001
4.67735141287197e-003   -1.63935782973185e+001  -1.63908787108374e+001
4.78630092322637e-003   -1.63937054835130e+001  -1.63908787108374e+001
4.89778819368445e-003   -1.63938386598161e+001  -1.63908787108374e+001
5.01187233627271e-003   -1.63939781081480e+001  -1.63908787108374e+001
5.12861383991363e-003   -1.63941241236785e+001  -1.63908787108374e+001
5.24807460249771e-003   -1.63942770154473e+001  -1.63908787108374e+001
5.37031796370251e-003   -1.63944371070145e+001  -1.63908787108374e+001
5.49540873857623e-003   -1.63946047371399e+001  -1.63908787108374e+001
5.62341325190347e-003   -1.63947802604951e+001  -1.63908787108374e+001
5.75439937337155e-003   -1.63949640484083e+001  -1.63908787108374e+001
5.88843655355587e-003   -1.63951564896433e+001  -1.63908787108374e+001
6.02559586074356e-003   -1.63953579912150e+001  -1.63908787108374e+001
6.16595001861480e-003   -1.63955689792433e+001  -1.63908787108374e+001
6.30957344480191e-003   -1.63957898998454e+001  -1.63908787108374e+001
6.45654229034654e-003   -1.63960212200704e+001  -1.63908787108374e+001
6.60693448007594e-003   -1.63962634288769e+001  -1.63908787108374e+001
6.76082975391980e-003   -1.63965170381555e+001  -1.63908787108374e+001
6.91830970918934e-003   -1.63967825837991e+001  -1.63908787108374e+001
7.07945784384136e-003   -1.63970606268219e+001  -1.63908787108374e+001
7.24435960074988e-003   -1.63973517545311e+001  -1.63908787108374e+001
7.41310241300915e-003   -1.63976565817510e+001  -1.63908787108374e+001
7.58577575029181e-003   -1.63979757521050e+001  -1.63908787108374e+001
7.76247116628689e-003   -1.63983099393557e+001  -1.63908787108374e+001
