Freq.	V(out)
2.04173794466953e-001	(-1.54419273749122e-003dB,-1.08035966420097e+000°)
2.08929613085404e-001	(-1.61695475295220e-003dB,-1.10551829922463e+000°)
2.13796208950223e-001	(-1.69314462998641e-003dB,-1.13126251269455e+000°)
2.18776162394955e-001	(-1.77292379272363e-003dB,-1.15760591292971e+000°)
2.23872113856834e-001	(-1.85646126083674e-003dB,-1.18456242297279e+000°)
2.29086765276777e-001	(-1.94393400632550e-003dB,-1.21214628775997e+000°)
2.34422881531992e-001	(-2.03552732701920e-003dB,-1.24037208144636e+000°)
2.39883291901949e-001	(-2.13143523755205e-003dB,-1.26925471488962e+000°)
2.45470891568503e-001	(-2.23186087863498e-003dB,-1.29880944329485e+000°)
2.51188643150958e-001	(-2.33701694545732e-003dB,-1.32905187402332e+000°)
2.57039578276886e-001	(-2.44712613612021e-003dB,-1.35999797456807e+000°)
2.63026799189538e-001	(-2.56242162103155e-003dB,-1.39166408069899e+000°)
2.69153480392691e-001	(-2.68314753421907e-003dB,-1.42406690478039e+000°)
2.75422870333816e-001	(-2.80955948757926e-003dB,-1.45722354426357e+000°)
2.81838293126445e-001	(-2.94192510914966e-003dB,-1.49115149035751e+000°)
2.88403150312660e-001	(-3.08052460645444e-003dB,-1.52586863687998e+000°)
2.95120922666638e-001	(-3.22565135615790e-003dB,-1.56139328929220e+000°)
3.01995172040201e-001	(-3.37761252116398e-003dB,-1.59774417391931e+000°)
3.09029543251359e-001	(-3.53672969647842e-003dB,-1.63494044735958e+000°)
3.16227766016838e-001	(-3.70333958512264e-003dB,-1.67300170608461e+000°)
3.23593656929628e-001	(-3.87779470552490e-003dB,-1.71194799623322e+000°)
3.31131121482591e-001	(-4.06046413175565e-003dB,-1.75179982360118e+000°)
3.38844156139202e-001	(-4.25173426819195e-003dB,-1.79257816382933e+000°)
3.46736850452531e-001	(-4.45200966015805e-003dB,-1.83430447279199e+000°)
3.54813389233575e-001	(-4.66171384215089e-003dB,-1.87700069718793e+000°)
3.63078054770101e-001	(-4.88129022541997e-003dB,-1.92068928533570e+000°)
3.71535229097172e-001	(-5.11120302667169e-003dB,-1.96539319817514e+000°)
3.80189396320561e-001	(-5.35193823974417e-003dB,-2.01113592047668e+000°)
3.89045144994280e-001	(-5.60400465225272e-003dB,-2.05794147225976e+000°)
3.98107170553497e-001	(-5.86793490920405e-003dB,-2.10583442042169e+000°)
4.07380277804112e-001	(-6.14428662571231e-003dB,-2.15483989057784e+000°)
4.16869383470335e-001	(-6.43364355104690e-003dB,-2.20498357911392e+000°)
4.26579518801592e-001	(-6.73661678631398e-003dB,-2.25629176545081e+000°)
4.36515832240165e-001	(-7.05384605817955e-003dB,-2.30879132452204e+000°)
4.46683592150962e-001	(-7.38600105114273e-003dB,-2.36250973946379e+000°)
4.57088189614874e-001	(-7.73378280101195e-003dB,-2.41747511451681e+000°)
4.67735141287197e-001	(-8.09792515225317e-003dB,-2.47371618813935e+000°)
4.78630092322638e-001	(-8.47919628210986e-003dB,-2.53126234632971e+000°)
4.89778819368445e-001	(-8.87840029442129e-003dB,-2.59014363615661e+000°)
5.01187233627271e-001	(-9.29637888623910e-003dB,-2.65039077949493e+000°)
5.12861383991364e-001	(-9.73401309044430e-003dB,-2.71203518696403e+000°)
5.24807460249772e-001	(-1.01922250976973e-002dB,-2.77510897206513e+000°)
5.37031796370252e-001	(-1.06719801612048e-002dB,-2.83964496551349e+000°)
5.49540873857624e-001	(-1.11742885879211e-002dB,-2.90567672976071e+000°)
5.62341325190348e-001	(-1.17002078199138e-002dB,-2.97323857370143e+000°)
5.75439937337156e-001	(-1.22508446098128e-002dB,-3.04236556755810e+000°)
5.88843655355588e-001	(-1.28273572944033e-002dB,-3.11309355793634e+000°)
6.02559586074357e-001	(-1.34309581705454e-002dB,-3.18545918304292e+000°)
6.16595001861481e-001	(-1.40629159778044e-002dB,-3.25949988805680e+000°)
6.30957344480192e-001	(-1.47245584923144e-002dB,-3.33525394064303e+000°)
6.45654229034654e-001	(-1.54172752365685e-002dB,-3.41276044659788e+000°)
6.60693448007595e-001	(-1.61425203099988e-002dB,-3.49205936561236e+000°)
6.76082975391981e-001	(-1.69018153453963e-002dB,-3.57319152713995e+000°)
6.91830970918935e-001	(-1.76967525963640e-002dB,-3.65619864635286e+000°)
7.07945784384137e-001	(-1.85289981612031e-002dB,-3.74112334016950e+000°)
7.24435960074989e-001	(-1.94002953488141e-002dB,-3.82800914333437e+000°)
7.41310241300916e-001	(-2.03124681923583e-002dB,-3.91690052452944e+000°)
7.58577575029182e-001	(-2.12674251166142e-002dB,-4.00784290249454e+000°)
7.76247116628690e-001	(-2.22671627651614e-002dB,-4.10088266213176e+000°)
7.94328234724280e-001	(-2.33137699936964e-002dB,-4.19606717056716e+000°)
8.12830516164098e-001	(-2.44094320359645e-002dB,-4.29344479314027e+000°)
8.31763771102669e-001	(-2.55564348489885e-002dB,-4.39306490928959e+000°)
8.51138038202375e-001	(-2.67571696444553e-002dB,-4.49497792829952e+000°)
