freq                    noise
1.949844599758032e+000  1.135635e-008
1.995262314968866e+000  1.110014e-008
2.041737944669515e+000  1.084961e-008
2.089296130854025e+000  1.060464e-008
2.137962089502217e+000  1.036511e-008
2.187761623949537e+000  1.013091e-008
2.238721138568323e+000  9.901933e-009
2.290867652767756e+000  9.678057e-009
2.344228815319905e+000  9.459175e-009
2.398832919019473e+000  9.245182e-009
2.454708915685012e+000  9.035971e-009
2.511886431509561e+000  8.831441e-009
2.570395782768844e+000  8.631490e-009
2.630267991895362e+000  8.436019e-009
2.691534803926895e+000  8.244931e-009
2.754228703338145e+000  8.058129e-009
2.818382931264432e+000  7.875522e-009
2.884031503126584e+000  7.697017e-009
2.951209226666363e+000  7.522525e-009
3.019951720401993e+000  7.351957e-009
3.090295432513567e+000  7.185228e-009
3.162277660168355e+000  7.022252e-009
3.235936569296257e+000  6.862948e-009
3.311311214825885e+000  6.707233e-009
3.388441561391999e+000  6.555030e-009
3.467368504525289e+000  6.406260e-009
3.548133892335727e+000  6.260847e-009
3.630780547700985e+000  6.118716e-009
3.715352290971696e+000  5.979795e-009
3.801893963205582e+000  5.844013e-009
3.890451449942775e+000  5.711299e-009
3.981071705534941e+000  5.581585e-009
4.073802778041094e+000  5.454805e-009
4.168693834703320e+000  5.330892e-009
4.265795188015892e+000  5.209783e-009
4.365158322401624e+000  5.091415e-009
4.466835921509595e+000  4.975727e-009
4.570881896148713e+000  4.862658e-009
4.677351412871944e+000  4.752150e-009
4.786300923226344e+000  4.644146e-009
4.897788193684422e+000  4.538589e-009
5.011872336272681e+000  4.435424e-009
5.128613839913606e+000  4.334598e-009
5.248074602497682e+000  4.236058e-009
5.370317963702482e+000  4.139752e-009
5.495408738576200e+000  4.045631e-009
5.623413251903443e+000  3.953645e-009
5.754399373371521e+000  3.863745e-009
5.888436553555840e+000  3.775886e-009
6.025595860743526e+000  3.690021e-009
6.165950018614769e+000  3.606104e-009
6.309573444801878e+000  3.524092e-009
6.456542290346500e+000  3.443943e-009
6.606934480075903e+000  3.365613e-009
6.760829753919760e+000  3.289062e-009
6.918309709189305e+000  3.214249e-009
7.079457843841318e+000  3.141136e-009
7.244359600749839e+000  3.069683e-009
7.413102413009112e+000  2.999854e-009
7.585775750291773e+000  2.931611e-009
7.762471166286851e+000  2.864919e-009
7.943282347242747e+000  2.799742e-009
8.128305161640922e+000  2.736047e-009
8.317637711026638e+000  2.673799e-009
8.511380382023690e+000  2.612965e-009
8.709635899560730e+000  2.553515e-009
8.912509381337378e+000  2.495416e-009
9.120108393559018e+000  2.438638e-009
9.332543007969829e+000  2.383150e-009
9.549925860214275e+000  2.328924e-009
9.772372209558020e+000  2.275931e-009
1.000000000000000e+001  2.224143e-009
