freq                    noise
2.238721138568332e+000  4.834019e-008
2.290867652767766e+000  4.829355e-008
2.344228815319914e+000  4.824486e-008
2.398832919019482e+000  4.819404e-008
2.454708915685022e+000  4.814098e-008
2.511886431509572e+000  4.808561e-008
2.570395782768855e+000  4.802784e-008
2.630267991895373e+000  4.796757e-008
2.691534803926906e+000  4.790470e-008
2.754228703338157e+000  4.783913e-008
2.818382931264444e+000  4.777077e-008
2.884031503126595e+000  4.769949e-008
2.951209226666375e+000  4.762519e-008
3.019951720402005e+000  4.754776e-008
3.090295432513579e+000  4.746709e-008
3.162277660168367e+000  4.738305e-008
3.235936569296270e+000  4.729553e-008
3.311311214825898e+000  4.720440e-008
3.388441561392012e+000  4.710954e-008
3.467368504525302e+000  4.701082e-008
3.548133892335740e+000  4.690811e-008
3.630780547700999e+000  4.680127e-008
3.715352290971711e+000  4.669018e-008
3.801893963205597e+000  4.657470e-008
3.890451449942790e+000  4.645469e-008
3.981071705534956e+000  4.633002e-008
4.073802778041110e+000  4.620053e-008
4.168693834703337e+000  4.606610e-008
4.265795188015909e+000  4.592659e-008
4.365158322401642e+000  4.578185e-008
4.466835921509612e+000  4.563175e-008
4.570881896148731e+000  4.547614e-008
4.677351412871962e+000  4.531490e-008
4.786300923226363e+000  4.514788e-008
4.897788193684440e+000  4.497495e-008
5.011872336272701e+000  4.479599e-008
5.128613839913625e+000  4.461086e-008
5.248074602497702e+000  4.441945e-008
5.370317963702503e+000  4.422164e-008
5.495408738576220e+000  4.401731e-008
5.623413251903465e+000  4.380635e-008
5.754399373371542e+000  4.358867e-008
5.888436553555861e+000  4.336418e-008
6.025595860743549e+000  4.313278e-008
6.165950018614792e+000  4.289441e-008
6.309573444801902e+000  4.264899e-008
6.456542290346524e+000  4.239646e-008
6.606934480075928e+000  4.213679e-008
6.760829753919785e+000  4.186992e-008
6.918309709189331e+000  4.159584e-008
7.079457843841344e+000  4.131454e-008
7.244359600749864e+000  4.102601e-008
7.413102413009137e+000  4.073027e-008
7.585775750291798e+000  4.042734e-008
7.762471166286877e+000  4.011727e-008
7.943282347242774e+000  3.980012e-008
8.128305161640951e+000  3.947595e-008
8.317637711026666e+000  3.914485e-008
8.511380382023720e+000  3.880693e-008
8.709635899560761e+000  3.846229e-008
8.912509381337408e+000  3.811108e-008
9.120108393559049e+000  3.775343e-008
9.332543007969861e+000  3.738951e-008
9.549925860214309e+000  3.701950e-008
9.772372209558055e+000  3.664359e-008
9.999999999999947e+000  3.626198e-008
1.023292992280749e+001  3.587490e-008
1.047128548050894e+001  3.548257e-008
1.071519305237601e+001  3.508524e-008
1.096478196143179e+001  3.468316e-008
1.122018454301957e+001  3.427661e-008
1.148153621496876e+001  3.386586e-008
1.174897554939523e+001  3.345119e-008
1.202264434617406e+001  3.303290e-008
1.230268770812375e+001  3.261129e-008
1.258925411794160e+001  3.218666e-008
1.288249551693127e+001  3.175933e-008
1.318256738556400e+001  3.132962e-008
1.348962882591646e+001  3.089784e-008
1.380384264602877e+001  3.046431e-008
1.412537544622746e+001  3.002936e-008
1.445439770745919e+001  2.959330e-008
1.479108388168199e+001  2.915645e-008
1.513561248436199e+001  2.871913e-008
1.548816618912472e+001  2.828166e-008
1.584893192461104e+001  2.784434e-008
1.621810097358920e+001  2.740748e-008
1.659586907437550e+001  2.697137e-008
1.698243652461734e+001  2.653631e-008
1.737800828749365e+001  2.610258e-008
1.778279410038912e+001  2.567046e-008
1.819700858609972e+001  2.524020e-008
1.862087136662855e+001  2.481208e-008
1.905460717963235e+001  2.438634e-008
1.949844599758032e+001  2.396321e-008
1.995262314968866e+001  2.354293e-008
2.041737944669515e+001  2.312571e-008
2.089296130854025e+001  2.271176e-008
2.137962089502218e+001  2.230127e-008
2.187761623949537e+001  2.189443e-008
2.238721138568324e+001  2.149141e-008
2.290867652767757e+001  2.109237e-008
2.344228815319906e+001  2.069746e-008
2.398832919019474e+001  2.030683e-008
2.454708915685013e+001  1.992060e-008
2.511886431509563e+001  1.953889e-008
2.570395782768846e+001  1.916181e-008
2.630267991895363e+001  1.878946e-008
2.691534803926897e+001  1.842192e-008
2.754228703338147e+001  1.805928e-008
2.818382931264434e+001  1.770159e-008
2.884031503126585e+001  1.734894e-008
2.951209226666364e+001  1.700135e-008
3.019951720401994e+001  1.665888e-008
3.090295432513568e+001  1.632157e-008
3.162277660168356e+001  1.598943e-008
3.235936569296258e+001  1.566249e-008
3.311311214825886e+001  1.534076e-008
3.388441561392000e+001  1.502425e-008
3.467368504525290e+001  1.471296e-008
3.548133892335728e+001  1.440689e-008
3.630780547700986e+001  1.410601e-008
3.715352290971697e+001  1.381032e-008
3.801893963205583e+001  1.351980e-008
3.890451449942776e+001  1.323441e-008
3.981071705534941e+001  1.295413e-008
4.073802778041095e+001  1.267892e-008
4.168693834703321e+001  1.240875e-008
4.265795188015893e+001  1.214357e-008
4.365158322401625e+001  1.188334e-008
4.466835921509595e+001  1.162802e-008
4.570881896148713e+001  1.137755e-008
4.677351412871944e+001  1.113188e-008
4.786300923226344e+001  1.089096e-008
4.897788193684422e+001  1.065473e-008
5.011872336272682e+001  1.042313e-008
5.128613839913606e+001  1.019611e-008
5.248074602497682e+001  9.973598e-009
5.370317963702482e+001  9.755538e-009
5.495408738576199e+001  9.541865e-009
5.623413251903443e+001  9.332516e-009
5.754399373371521e+001  9.127427e-009
5.888436553555840e+001  8.926532e-009
6.025595860743526e+001  8.729766e-009
6.165950018614769e+001  8.537063e-009
6.309573444801878e+001  8.348357e-009
6.456542290346499e+001  8.163581e-009
6.606934480075903e+001  7.982670e-009
6.760829753919759e+001  7.805557e-009
6.918309709189305e+001  7.632177e-009
7.079457843841317e+001  7.462463e-009
7.244359600749837e+001  7.296350e-009
7.413102413009111e+001  7.133773e-009
7.585775750291771e+001  6.974667e-009
7.762471166286849e+001  6.818969e-009
7.943282347242744e+001  6.666613e-009
8.128305161640920e+001  6.517539e-009
8.317637711026636e+001  6.371681e-009
8.511380382023688e+001  6.228980e-009
8.709635899560728e+001  6.089373e-009
8.912509381337374e+001  5.952801e-009
9.120108393559013e+001  5.819204e-009
9.332543007969824e+001  5.688522e-009
9.549925860214270e+001  5.560697e-009
9.772372209558016e+001  5.435673e-009
1.000000000000000e+002  5.313392e-009
